Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;3;Stride;0.08;-;2.77;2.72;406;4.5 (R) ;2.2 (B) ;;1.42;
;-3;Stride;0.05;-;2.08;3.28;366;-3.29 (L) ;-10.36 (F) ;;0.76;
;-2;Stride;0.05;-;2.8;2.08;357;5.81 (R) ;1.71 (B) ;;1.35;
;-1;Stride;0.08;-;2.77;2.72;406;4.5 (R) ;2.2 (B) ;;1.42;
17b;33;Jump;-;1.61;7.48;4.51;436;7.5 (R) ;undefined ;31.78;5.9;
;1;Stride;0.02;-;2.47;2.54;463;0.28 (R) ;-3.89 (F) ;;1.52;
;2;Stride;0.04;-;2.52;1.62;432;-7.51 (L) ;-7.15 (F) ;;0.96;
;3;Stride;0.06;-;4.54;2.32;433;-8.11 (L) ;1.82 (B) ;;1.99;
;4;Stride;0.04;-;3.62;2.7;473;-0.77 (L) ;-0.29 (F) ;;1.93;
;5;Stride;0.06;-;4.33;2.43;519;3.63 (R) ;-2.26 (F) ;;1.95;
;-5;Stride;0.18;-;3.26;2.69;321;0.64 (R) ;0.31 (B) ;;2.68;
;-4;Stride;0.07;-;2.97;2.88;336;3.39 (R) ;-0.95 (F) ;;1.39;
;-3;Stride;0.1;-;3.14;2.81;385;2.92 (R) ;-4.09 (F) ;;1.36;
;-2;Stride;0.17;-;3.97;4.27;434;3.27 (R) ;-1.82 (F) ;;2.79;
;-1;Stride;0.08;-;2.8;2.28;442;6.58 (R) ;-6.7 (F) ;;1.63;
18a;34;Jump;-;1.6;6.42;5.1;381;5.77 (R) ;undefined ;22.23;6.04;
;1;Stride;0.04;-;1.77;1.31;407;6.07 (R) ;-22.26 (F) ;;0.47;
;2;Stride;0.13;-;3.24;3.38;347;1.03 (R) ;-4.35 (F) ;;2.08;
;3;Stride;0.17;-;3.01;2.09;347;1.95 (R) ;-6.11 (F) ;;0.91;
;4;Stride;0.08;-;2.59;2.44;331;-2.65 (L) ;-12.62 (F) ;;0.62;
;5;Stride;0.17;-;3.04;4.51;326;-1.49 (L) ;-5.33 (F) ;;2.98;
;-5;Stride;0.17;-;3.01;2.09;347;1.95 (R) ;-6.11 (F) ;;0.91;
;-4;Stride;0.08;-;2.59;2.44;331;-2.65 (L) ;-12.62 (F) ;;0.62;
;-3;Stride;0.17;-;3.04;4.51;326;-1.49 (L) ;-5.33 (F) ;;2.98;
;-2;Stride;0.15;-;2.69;3.45;305;3.37 (R) ;-0.65 (F) ;;1.81;
;-1;Stride;0.1;-;2.64;3.1;304;7.94 (R) ;-2.83 (F) ;;1.65;
18b;35;Jump;-;1.49;4.68;2.63;299;2.96 (R) ;undefined ;25.57;2.49;
;1;Stride;0.03;-;0.34;3.14;290;8.26 (R) ;-23.88 (F) ;;1.03;
;2;Stride;0.05;-;2.64;1.83;377;7.84 (R) ;-5.44 (F) ;;1.53;
;3;Stride;0.05;-;3.07;2.35;383;9.92 (R) ;-0.38 (F) ;;1.52;
;4;Stride;0.05;-;3.14;2.2;401;6.33 (R) ;1.26 (B) ;;1.23;
;5;Stride;0.04;-;3.07;2.58;384;3.29 (R) ;4.6 (B) ;;2.12;
;-5;Stride;0.03;-;0.34;3.14;290;8.26 (R) ;-23.88 (F) ;;1.03;
;-4;Stride;0.05;-;2.64;1.83;377;7.84 (R) ;-5.44 (F) ;;1.53;
;-3;Stride;0.05;-;3.07;2.35;383;9.92 (R) ;-0.38 (F) ;;1.52;
;-2;Stride;0.05;-;3.14;2.2;401;6.33 (R) ;1.26 (B) ;;1.23;
;-1;Stride;0.04;-;3.07;2.58;384;3.29 (R) ;4.6 (B) ;;2.12;
18c;36;Jump;-;1.8;6.38;3.71;358;-1.17 (L) ;undefined ;37.59;3.57;
;1;Stride;0.1;-;0.93;5.31;370;-7.9 (L) ;-18.75 (F) ;;2.71;
;2;Stride;0.08;-;5.41;3.02;422;6.74 (R) ;11.37 (B) ;;2.83;
;3;Stride;0.08;-;7.68;1.39;518;9.92 (R) ;6.46 (B) ;;2.13;
;4;Stride;0.04;-;4.84;2.4;538;7.77 (R) ;6.22 (B) ;;2.24;
;5;Stride;0.07;-;4.62;2.69;554;6.96 (R) ;6.81 (B) ;;2.09;
;-5;Stride;0.22;-;3.7;3.14;352;-3.74 (L) ;11.11 (B) ;;1.92;
;-4;Stride;0.12;-;2.62;3.27;296;-5.81 (L) ;7.38 (B) ;;0.69;
;-3;Stride;0.12;-;2.07;3.35;230;-5.62 (L) ;2.54 (B) ;;0.76;
;-2;Stride;0.15;-;2.21;2.68;255;-3.94 (L) ;0.9 (B) ;;1.12;
;-1;Stride;0.1;-;1.95;3;272;-1.93 (L) ;-0.05 (F) ;;0.76;
19;37;Jump;-;1.78;5.68;4.42;315;9.39 (R) ;undefined ;38.42;4.54;
;1;Stride;0.01;-;2.18;2.64;452;12.14 (R) ;-0.27 (F) ;;1.18;
;2;Stride;0.03;-;3.59;2.61;414;2.28 (R) ;0.57 (B) ;;1.44;
;3;Stride;0.06;-;3.35;2.59;437;2.01 (R) ;-3.94 (F) ;;1.02;
;4;Stride;0.08;-;3.33;2.68;425;2.2 (R) ;-3.82 (F) ;;1.3;
;5;Stride;0.1;-;4.21;3.62;468;3.93 (R) ;-0.83 (F) ;;2.01;
;-5;Stride;0.19;-;4.23;3.92;470;-4.61 (L) ;0.21 (B) ;;3.11;
;-4;Stride;0.17;-;3.65;3.73;405;-5.53 (L) ;1.93 (B) ;;2.3;
;-3;Stride;0.12;-;2.9;2.24;356;-4.49 (L) ;-0.56 (F) ;;1.65;
;-2;Stride;0.11;-;2.77;2.83;347;-3.76 (L) ;-0.46 (F) ;;1.69;
;-1;Stride;0.11;-;2.62;3.03;334;-4.37 (L) ;-1.75 (F) ;;1.74;
20a;38;Jump;-;1.53;5.99;4.03;359;-2.62 (L) ;undefined ;28.68;4.14;
;1;Stride;0.07;-;1.52;1.97;397;2.07 (R) ;-3.17 (F) ;;0.63;
;2;Stride;0.08;-;3.15;2.35;370;0.79 (R) ;1.29 (B) ;;1.13;
;-2;Stride;0.07;-;1.52;1.97;397;2.07 (R) ;-3.17 (F) ;;0.63;
;-1;Stride;0.08;-;3.15;2.35;370;0.79 (R) ;1.29 (B) ;;1.13;
20b;39;Jump;-;1.55;7.23;4.44;421;9.89 (R) ;undefined ;39.75;6.04;
;1;Stride;0.05;-;1.8;2.1;567;14.82 (R) ;-7.38 (F) ;;1.63;
;2;Stride;0.07;-;5.44;3.52;527;4.57 (R) ;-3.61 (F) ;;2.47;
;3;Stride;0.1;-;3.77;2.68;526;-0.94 (L) ;-7.31 (F) ;;1.97;
;4;Stride;0.12;-;4.71;3.55;524;-3.28 (L) ;-1.9 (F) ;;3.77;
;5;Stride;0.13;-;4.58;3.86;528;-1.21 (L) ;-1.24 (F) ;;3.73;
;-5;Stride;0.17;-;5.03;2.48;529;5.84 (R) ;0.71 (B) ;;3.13;
;-4;Stride;0.19;-;4.76;4.3;529;6.62 (R) ;-2.01 (F) ;;5.22;
;-3;Stride;0.12;-;4.49;3.5;538;3.02 (R) ;-4.97 (F) ;;3.83;
;-2;Stride;0.13;-;3.87;2.54;484;0.58 (R) ;0.19 (B) ;;2.83;
;-1;Stride;0.1;-;3.59;2.92;479;6.12 (R) ;-0.98 (F) ;;2.3;
21;40;Jump;-;1.64;7.74;4.2;442;3.32 (R) ;undefined ;32.88;6.91;
;1;Stride;0.08;-;1.8;2.22;539;1.94 (R) ;-9.48 (F) ;;1.85;
;2;Stride;0.05;-;4.53;3.55;494;3.84 (R) ;-0.83 (F) ;;2.75;
;3;Stride;0.04;-;3.94;1.76;538;2.35 (R) ;-5.99 (F) ;;1.18;
;4;Stride;0.08;-;4.65;3.03;547;3.4 (R) ;-5.21 (F) ;;3.42;
;5;Stride;0.11;-;5.32;3.13;603;4.88 (R) ;-4.81 (F) ;;3.64;
