Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;3;Stride;0.14;-;3.02;3.01;349;4.56 (R) ;3.08 (B) ;;1.58;
;4;Stride;0.08;-;3.14;2.29;377;4.92 (R) ;3.7 (B) ;;1.13;
;5;Stride;0.08;-;2.47;2.16;390;8.22 (R) ;0.88 (B) ;;0.7;
;-5;Stride;0.02;-;1.83;2.01;366;-6 (L) ;-8.2 (F) ;;0.64;
;-4;Stride;0.13;-;2.92;3.62;337;-0.17 (L) ;-1.48 (F) ;;1.23;
;-3;Stride;0.14;-;3.02;3.01;349;4.56 (R) ;3.08 (B) ;;1.58;
;-2;Stride;0.08;-;3.14;2.29;377;4.92 (R) ;3.7 (B) ;;1.13;
;-1;Stride;0.08;-;2.47;2.16;390;8.22 (R) ;0.88 (B) ;;0.7;
6b;14;Jump;-;1.55;4.95;4.34;323;0.85 (R) ;undefined ;31.19;4.35;
;1;Stride;0.06;-;2.15;2.32;415;9.06 (R) ;-5.6 (F) ;;1.68;
;2;Stride;0.06;-;3.98;3.06;434;22.42 (R) ;2.92 (B) ;;2.19;
;3;Stride;0.06;-;4.26;3.13;521;18.25 (R) ;0.31 (B) ;;1.63;
;4;Stride;0.05;-;4.34;2.11;566;14.37 (R) ;-2.4 (F) ;;1.37;
;5;Stride;0.06;-;5.17;3.17;608;15.19 (R) ;-3.4 (F) ;;2.4;
;-5;Stride;0.21;-;4.7;2.9;504;2.12 (R) ;-1.47 (F) ;;3.49;
;-4;Stride;0.14;-;3.77;2.33;452;-1.68 (L) ;-0.28 (F) ;;2.49;
;-3;Stride;0.13;-;3.82;2.16;425;-0.75 (L) ;-0.55 (F) ;;2.23;
;-2;Stride;0.07;-;2.97;2.2;435;1.76 (R) ;-1.95 (F) ;;0.98;
;-1;Stride;0.1;-;3.33;3.16;454;3.71 (R) ;-4.17 (F) ;;2.01;
7;15;Jump;-;1.7;7.14;4.79;420;3.13 (R) ;undefined ;28.41;5.48;
;1;Stride;0.04;-;2.42;3.91;501;8.66 (R) ;-11.23 (F) ;;2.8;
;2;Stride;0.07;-;4.91;2.59;475;6.37 (R) ;-0.59 (F) ;;2.26;
;3;Stride;0.04;-;3.87;1.55;539;9.59 (R) ;-3.41 (F) ;;1.35;
;4;Stride;0.05;-;3.46;2.27;546;14.53 (R) ;-1.81 (F) ;;1.66;
;5;Stride;0.13;-;5.32;3.39;560;12.85 (R) ;1.6 (B) ;;3.24;
;-5;Stride;0.18;-;3.75;3.12;416;2.08 (R) ;-1.24 (F) ;;2.1;
;-4;Stride;0.17;-;3.48;2.17;394;2.52 (R) ;-1.17 (F) ;;2.04;
;-3;Stride;0.15;-;3.19;2.1;368;3.2 (R) ;0.38 (B) ;;1.8;
;-2;Stride;0.07;-;2.79;2.95;381;4.8 (R) ;-0.99 (F) ;;1.05;
;-1;Stride;0.06;-;2.88;2.38;393;5.81 (R) ;-1.27 (F) ;;1.72;
8a;16;Jump;-;1.67;6.15;5.84;348;1.08 (R) ;undefined ;28.24;6.21;
;1;Stride;0.03;-;1.55;2.47;310;4.99 (R) ;-1.2 (F) ;;0.96;
;2;Stride;0.06;-;2.14;1.37;262;1.24 (R) ;4.18 (B) ;;0.81;
;3;Stride;0.06;-;2.46;1.61;308;3.74 (R) ;4.06 (B) ;;1.22;
;4;Stride;0.07;-;2.9;3.54;386;11.55 (R) ;0.26 (B) ;;1.95;
;-4;Stride;0.03;-;1.55;2.47;310;4.99 (R) ;-1.2 (F) ;;0.96;
;-3;Stride;0.06;-;2.14;1.37;262;1.24 (R) ;4.18 (B) ;;0.81;
;-2;Stride;0.06;-;2.46;1.61;308;3.74 (R) ;4.06 (B) ;;1.22;
;-1;Stride;0.07;-;2.9;3.54;386;11.55 (R) ;0.26 (B) ;;1.95;
8b;17;Jump;-;1.5;6.59;3.1;425;10.02 (R) ;undefined ;35.33;4.81;
;1;Stride;0.01;-;0.3;1.15;443;5.16 (R) ;-10.37 (F) ;;0.14;
;2;Stride;0.16;-;4.34;3.32;377;8.58 (R) ;-0.08 (F) ;;3.04;
;3;Stride;0.03;-;3.33;1.85;363;7.08 (R) ;10.24 (B) ;;2.81;
