Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;-1;Stride;0.11;-;4.37;2.38;495;3.66 (R) ;-2.82 (F) ;;2.27;
5c;12;Jump;-;1.67;7.52;5.75;414;7.72 (R) ;undefined ;33.33;7.01;
;1;Stride;0.11;-;2.42;1.58;468;-5 (L) ;-13.08 (F) ;;1.36;
;2;Stride;0.09;-;3.69;1.91;434;8.9 (R) ;-1.16 (F) ;;2.1;
;3;Stride;0.08;-;3.95;2.6;504;17.09 (R) ;-5.05 (F) ;;1.93;
;4;Stride;0.1;-;4.65;2.92;526;16.12 (R) ;-5.3 (F) ;;2.85;
;5;Stride;0.1;-;4.73;2.58;579;8.17 (R) ;-4.96 (F) ;;2.48;
;-5;Stride;0.17;-;3.45;3.54;377;13.35 (R) ;2.13 (B) ;;2.46;
;-4;Stride;0.14;-;3.27;3.86;370;15.84 (R) ;0.76 (B) ;;2.43;
;-3;Stride;0.17;-;3.58;3.6;398;13.07 (R) ;3.82 (B) ;;2.77;
;-2;Stride;0.14;-;3.67;3.4;423;9.73 (R) ;9.26 (B) ;;2.66;
;-1;Stride;0.11;-;2.54;4.85;381;5.1 (R) ;5.15 (B) ;;1.56;
6a;13;Jump;-;1.65;5.67;6.35;315;4.66 (R) ;undefined ;34.21;5.73;
;1;Stride;0.04;-;2.19;3.42;397;-0.4 (L) ;-18.01 (F) ;;0.77;
;2;Stride;0.19;-;3.5;4.96;375;4.33 (R) ;6.78 (B) ;;2.81;
;3;Stride;0.18;-;3.56;3.76;388;6.59 (R) ;8.59 (B) ;;1.99;
;4;Stride;0.11;-;2.71;3.51;407;2.57 (R) ;3.84 (B) ;;1.26;
;5;Stride;0.14;-;3.17;7.03;414;2.9 (R) ;6.36 (B) ;;2.57;
;-5;Stride;0.04;-;2.19;3.42;397;-0.4 (L) ;-18.01 (F) ;;0.77;
;-4;Stride;0.19;-;3.5;4.96;375;4.33 (R) ;6.78 (B) ;;2.81;
;-3;Stride;0.18;-;3.56;3.76;388;6.59 (R) ;8.59 (B) ;;1.99;
;-2;Stride;0.11;-;2.71;3.51;407;2.57 (R) ;3.84 (B) ;;1.26;
;-1;Stride;0.14;-;3.17;7.03;414;2.9 (R) ;6.36 (B) ;;2.57;
6b;14;Jump;-;1.54;6.3;5.71;382;-2.65 (L) ;undefined ;33.04;5.81;
;1;Stride;0.12;-;2.87;4.19;442;-2.74 (L) ;-17.53 (F) ;;1.83;
;2;Stride;0.12;-;3.41;2.49;436;10.14 (R) ;-3.98 (F) ;;1.78;
;3;Stride;0.1;-;3.64;2.34;446;14.51 (R) ;-6.02 (F) ;;1.89;
;4;Stride;0.1;-;4.88;3.56;542;18.2 (R) ;-5.6 (F) ;;2.34;
;5;Stride;0.1;-;4.69;4;552;17.81 (R) ;-5.58 (F) ;;2.26;
;-5;Stride;0.16;-;5.12;4.97;558;0.12 (R) ;0.11 (B) ;;3.56;
;-4;Stride;0.16;-;4.96;5.03;551;0.52 (R) ;-0.46 (F) ;;4.09;
;-3;Stride;0.14;-;4.72;3.97;525;-1.36 (L) ;8.12 (B) ;;2.51;
;-2;Stride;0.13;-;3.95;7.17;504;-5.07 (L) ;5.2 (B) ;;2.34;
;-1;Stride;0.08;-;3.16;4.44;486;-6.15 (L) ;4.77 (B) ;;2.17;
7;15;Jump;-;1.59;7.55;6.86;435;-6.49 (L) ;undefined ;34.52;7.53;
;1;Stride;0.07;-;2.35;2.47;523;1.91 (R) ;-15.81 (F) ;;1.34;
;2;Stride;0.08;-;4.45;3.11;504;1.25 (R) ;-1.94 (F) ;;1.45;
;3;Stride;0.06;-;4.78;2.27;585;5.24 (R) ;-5.66 (F) ;;1.22;
;4;Stride;0.13;-;5.46;4.37;585;9.22 (R) ;-4.07 (F) ;;3.54;
;5;Stride;0.08;-;4.7;2.65;588;6.54 (R) ;-3.82 (F) ;;2.12;
;-5;Stride;0.21;-;5.03;5.71;503;-3.61 (L) ;-3.35 (F) ;;4.69;
;-4;Stride;0.15;-;4.43;4.92;483;-6.63 (L) ;1.63 (B) ;;3.24;
