Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;-1;Stride;0.15;-;4.02;3.9;492;5.47 (R) ;3.56 (B) ;;2.6;
17a;31;Jump;-;1.51;6.96;4.11;380;5.4 (R) ;undefined ;33.62;3.73;
;1;Stride;0.04;-;2.37;1.11;458;0.87 (R) ;-24.45 (F) ;;0.42;
;2;Stride;0.15;-;3.77;2.91;427;13.59 (R) ;-4.53 (F) ;;2.62;
;3;Stride;0.11;-;3.59;3.26;448;10.43 (R) ;-3.93 (F) ;;1.93;
;-3;Stride;0.04;-;2.37;1.11;458;0.87 (R) ;-24.45 (F) ;;0.42;
;-2;Stride;0.15;-;3.77;2.91;427;13.59 (R) ;-4.53 (F) ;;2.62;
;-1;Stride;0.11;-;3.59;3.26;448;10.43 (R) ;-3.93 (F) ;;1.93;
17b;32;Jump;-;1.46;6.65;6.98;411;8.07 (R) ;undefined ;29.86;6.65;
;1;Stride;0.04;-;2.96;2.11;480;-2.45 (L) ;-17.27 (F) ;;1.18;
;2;Stride;0.11;-;3.65;2.89;476;-6.33 (L) ;-7.23 (F) ;;2.35;
;3;Stride;0.09;-;4.51;2.07;492;-8.39 (L) ;-2.62 (F) ;;1.73;
;4;Stride;0.07;-;4.25;2.08;554;-6.58 (L) ;-6.58 (F) ;;1.72;
;5;Stride;0.09;-;5.07;2.68;574;-6.02 (L) ;-6.53 (F) ;;2.36;
;-5;Stride;0.19;-;3.69;3.06;389;4.28 (R) ;-2.87 (F) ;;2.03;
;-4;Stride;0.16;-;3.48;3.82;379;-1.29 (L) ;-3.29 (F) ;;2.28;
;-3;Stride;0.14;-;2.92;3.44;308;1.16 (R) ;8.4 (B) ;;1.54;
;-2;Stride;0.1;-;2.59;1.66;311;1.06 (R) ;-0.15 (F) ;;1.22;
;-1;Stride;0.12;-;2.65;3.13;324;1.87 (R) ;-6.22 (F) ;;1.95;
18a;33;Jump;-;1.53;5.02;7.23;284;0.04 (R) ;undefined ;31.92;4.55;
;1;Stride;0.06;-;2.09;2.57;380;3.94 (R) ;-23.83 (F) ;;0.57;
;2;Stride;0.14;-;3.14;3.4;348;-4.2 (L) ;-8.65 (F) ;;2.15;
;3;Stride;0.23;-;3.1;2.28;295;-1.46 (L) ;-10.6 (F) ;;1.31;
;4;Stride;0.09;-;2.63;3.39;309;-3.37 (L) ;-15.1 (F) ;;1.46;
;5;Stride;0.16;-;2.84;6.25;304;0.16 (R) ;-3.97 (F) ;;2.12;
;-5;Stride;0.14;-;3.14;3.4;348;-4.2 (L) ;-8.65 (F) ;;2.15;
;-4;Stride;0.23;-;3.1;2.28;295;-1.46 (L) ;-10.6 (F) ;;1.31;
;-3;Stride;0.09;-;2.63;3.39;309;-3.37 (L) ;-15.1 (F) ;;1.46;
;-2;Stride;0.16;-;2.84;6.25;304;0.16 (R) ;-3.97 (F) ;;2.12;
;-1;Stride;0.09;-;2.72;1.67;319;0.29 (R) ;-6.92 (F) ;;1.21;
18b;34;Jump;-;1.45;5.83;5.53;292;-1.21 (L) ;undefined ;29.62;5.62;
;1;Stride;0.04;-;2.59;2.75;330;1.78 (R) ;-12.92 (F) ;;1.73;
;2;Stride;0.1;-;2.45;1.84;320;10.63 (R) ;-5.7 (F) ;;1;
;3;Stride;0.17;-;3.44;3.75;339;11.2 (R) ;-2.69 (F) ;;2.46;
;4;Stride;0.16;-;3.15;3.27;393;6.03 (R) ;-1.14 (F) ;;2.7;
;-4;Stride;0.04;-;2.59;2.75;330;1.78 (R) ;-12.92 (F) ;;1.73;
;-3;Stride;0.1;-;2.45;1.84;320;10.63 (R) ;-5.7 (F) ;;1;
;-2;Stride;0.17;-;3.44;3.75;339;11.2 (R) ;-2.69 (F) ;;2.46;
;-1;Stride;0.16;-;3.15;3.27;393;6.03 (R) ;-1.14 (F) ;;2.7;
18c;35;Jump;-;1.58;5.88;2.38;342;7.74 (R) ;undefined ;32.75;3.09;
;1;Stride;0.13;-;2.02;6.17;391;2.62 (R) ;-22.61 (F) ;;3.53;
;2;Stride;0.11;-;4.64;2.49;371;-3.59 (L) ;7.84 (B) ;;3.08;
;3;Stride;0.04;-;5.79;1.76;391;1.54 (R) ;0.99 (B) ;;3.02;
;4;Stride;0.07;-;3.65;1.98;447;3.49 (R) ;-1.93 (F) ;;2.22;
;5;Stride;0.09;-;3.93;2.32;462;3.21 (R) ;1.7 (B) ;;3.04;
;-5;Stride;0.17;-;2.81;2.73;306;6.38 (R) ;-1.8 (F) ;;1.45;
;-4;Stride;0.12;-;2.41;2.61;259;4.06 (R) ;-5.71 (F) ;;0.98;
;-3;Stride;0.11;-;2.35;1.91;252;-1.47 (L) ;-4.79 (F) ;;0.67;
;-2;Stride;0.16;-;2.64;3.6;268;2.31 (R) ;-0.98 (F) ;;1.99;
;-1;Stride;0.09;-;2.24;1.89;299;1.6 (R) ;-5.32 (F) ;;0.74;
19;36;Jump;-;1.52;5.19;7.52;302;1.96 (R) ;undefined ;28.04;4.23;
;1;Stride;0.07;-;1.36;2.16;314;4.7 (R) ;-15.12 (F) ;;0.88;
;2;Stride;0.11;-;2.29;2.38;259;-4.56 (L) ;0.41 (B) ;;0.74;
;3;Stride;0.12;-;3.16;3.23;344;-4.75 (L) ;-7.96 (F) ;;1.28;
;4;Stride;0.14;-;3.74;3.69;431;-0.86 (L) ;-9.23 (F) ;;1.88;
;5;Stride;0.14;-;4.98;5.53;524;4.11 (R) ;-11.05 (F) ;;3.38;
;-5;Stride;0.18;-;4.25;4.68;464;1.24 (R) ;-2.1 (F) ;;3.04;
;-4;Stride;0.16;-;3.72;3.87;421;-1.06 (L) ;-3.44 (F) ;;2.12;
;-3;Stride;0.18;-;4.4;2.77;432;-2.56 (L) ;-2.06 (F) ;;3.06;
;-2;Stride;0.09;-;3.83;2.78;451;-0.71 (L) ;-1.66 (F) ;;1.97;
;-1;Stride;0.08;-;3.41;1.88;465;-3.08 (L) ;-6.58 (F) ;;1.28;
20a;37;Jump;-;1.47;7.44;6.13;447;-2.49 (L) ;undefined ;29.19;6.64;
;1;Stride;0.05;-;2.66;2.85;499;3.06 (R) ;-12.2 (F) ;;1.26;
;2;Stride;0.09;-;3.09;3.16;431;-5.2 (L) ;-3.23 (F) ;;1.96;
;-2;Stride;0.05;-;2.66;2.85;499;3.06 (R) ;-12.2 (F) ;;1.26;
;-1;Stride;0.09;-;3.09;3.16;431;-5.2 (L) ;-3.23 (F) ;;1.96;
20b;38;Jump;-;1.49;6.94;6.35;408;-5.39 (L) ;undefined ;27.63;6.18;
;1;Stride;0.11;-;2.48;1.96;512;7.03 (R) ;-18.88 (F) ;;1.22;
;2;Stride;0.11;-;4.11;3.41;433;-1.42 (L) ;-5.57 (F) ;;2.03;
;3;Stride;0.1;-;3.86;2.12;482;-5.63 (L) ;-7.94 (F) ;;1.87;
;4;Stride;0.12;-;3.84;2.98;470;-3.67 (L) ;-5.51 (F) ;;2.18;
;5;Stride;0.15;-;4.21;3.71;468;0.07 (R) ;-4.63 (F) ;;3.07;
;-5;Stride;0.16;-;3.87;4.42;446;-0.2 (L) ;-5.6 (F) ;;2.81;
;-4;Stride;0.24;-;4.54;4.96;447;-1.65 (L) ;2.56 (B) ;;3.17;
;-3;Stride;0.16;-;4.01;8.48;422;-0.51 (L) ;9.67 (B) ;;2.6;
;-2;Stride;0.12;-;3.09;4.28;386;1.23 (R) ;8.14 (B) ;;1.39;
;-1;Stride;0.05;-;2.17;5.54;352;0.46 (R) ;1.57 (B) ;;1.77;
21;39;Jump;-;1.66;4.89;5.83;247;9.93 (R) ;undefined ;37.25;5.48;
;1;Stride;0.1;-;1.61;2.45;372;17.94 (R) ;-21.89 (F) ;;0.9;
;2;Stride;0.15;-;3.5;2.79;313;12.47 (R) ;0.91 (B) ;;1.89;
;3;Stride;0.08;-;3.18;1.47;390;10.9 (R) ;-6.35 (F) ;;1.6;
;4;Stride;0.06;-;3.5;2.05;412;1.14 (R) ;-5.61 (F) ;;1.66;
;5;Stride;0.1;-;3.82;2.87;449;-1.33 (L) ;-7.54 (F) ;;2.26;
