Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
3667;1929.1;570 ms;5.3 G;canter;250 m/min;22 cm;2.37 m;R;11.8 º (R);12.9 º (B);1538.79;
3668;1929.6;500 ms;3.5 G;canter;119 m/min;15 cm;0.99 m;S;-4.6 º (L);5.3 º (B);601.2;
3669;1929.79;190 ms;1 G;canter;88 m/min;4 cm;0.28 m;L;-5.4 º (L);-0.5 º (F);50.29;
3670;1930.6;810 ms;0.5 G;walk;38 m/min;4 cm;0.51 m;L;-4.1 º (L);3.2 º (B);0;
3671;1931.03;430 ms;0.4 G;walk;35 m/min;2 cm;0.25 m;S;-4.9 º (L);0.9 º (B);4.08;
3672;1931.63;600 ms;0.3 G;walk;25 m/min;2 cm;0.25 m;R;5.7 º (R);-1.5 º (F);0.17;
3673;1932.5;870 ms;0.2 G;walk;25 m/min;4 cm;0.36 m;R;3.3 º (R);-2.2 º (F);0;
3674;1933.15;650 ms;0.5 G;walk;89 m/min;4 cm;0.97 m;R;2.6 º (R);-2.2 º (F);124.79;
3675;1934.25;1100 ms;1.2 G;canter;213 m/min;7 cm;3.9 m;S;3.6 º (R);-0.9 º (F);738.08;
3676;1934.79;540 ms;1.5 G;canter;303 m/min;9 cm;2.73 m;S;2.2 º (R);-4.3 º (F);615.64;
3677;1935.38;590 ms;3 G;canter;349 m/min;13 cm;3.43 m;R;4.4 º (R);-2 º (F);1105.29;
3678;1935.88;500 ms;1.6 G;canter;369 m/min;11 cm;3.08 m;S;3.8 º (R);-8.1 º (F);939.87;
3679;1936.49;610 ms;3.1 G;canter;386 m/min;17 cm;3.92 m;R;9.4 º (R);-4.5 º (F);2033.37;
3680;1937.02;530 ms;3 G;canter;389 m/min;14 cm;3.44 m;R;12.4 º (R);-3.2 º (F);1493.78;
3681;1937.59;570 ms;2.4 G;canter;377 m/min;19 cm;3.58 m;R;16.1 º (R);-3.8 º (F);1947.53;
3682;1938.16;570 ms;3.4 G;canter;350 m/min;18 cm;3.32 m;R;15.5 º (R);-6.3 º (F);1787.5;
3683;1938.7;540 ms;2.6 G;canter;309 m/min;19 cm;2.78 m;R;15.5 º (R);-6.5 º (F);1266.15;
3684;1939.29;590 ms;3.2 G;canter;262 m/min;19 cm;2.58 m;R;19 º (R);-4.6 º (F);1444.89;
3685;1939.83;540 ms;1.7 G;canter;293 m/min;15 cm;2.64 m;R;18.8 º (R);-8 º (F);828.75;
3686;1940.42;590 ms;2.7 G;canter;335 m/min;16 cm;3.3 m;R;13.6 º (R);-6 º (F);1049.49;
3687;1940.97;550 ms;2.1 G;canter;314 m/min;16 cm;2.88 m;R;10.8 º (R);-6 º (F);1075.4;
3688;1941.54;570 ms;2.4 G;canter;327 m/min;16 cm;3.11 m;R;7.2 º (R);-6.3 º (F);1274.65;
3689;1942.06;520 ms;3.4 G;canter;328 m/min;16 cm;2.84 m;R;6.6 º (R);-2.3 º (F);1188.88;
3690;1942.61;550 ms;3.5 G;canter;316 m/min;18 cm;2.9 m;R;8.7 º (R);2.5 º (B);1141.03;
3691;1943.18;570 ms;2.9 G;canter;329 m/min;16 cm;3.12 m;S;5.6 º (R);6.4 º (B);1294.06;
3692;1943.68;500 ms;1.6 G;canter;344 m/min;10 cm;2.87 m;S;2.8 º (R);5.2 º (B);622.05;
3693;1944.18;500 ms;1.7 G;canter;362 m/min;9 cm;3.02 m;S;1.7 º (R);-1.3 º (F);1011.69;
3694;1945.56;260 ms;1.9 G;canter;455 m/min;11 cm;1.97 m;R;5.7 º (R);-19.9 º (F);947.97;
3695;1946.15;590 ms;2.9 G;canter;438 m/min;14 cm;4.3 m;S;-6.2 º (L);-2.2 º (F);2042.66;
3696;1946.62;470 ms;1.9 G;canter;449 m/min;12 cm;3.52 m;L;-11.8 º (L);-6.1 º (F);1179.74;
3697;1947.17;550 ms;2.3 G;canter;473 m/min;9 cm;4.34 m;L;-7.1 º (L);-3.8 º (F);1281.4;
3698;1947.69;520 ms;3 G;canter;482 m/min;10 cm;4.18 m;L;-4.4 º (L);-5.1 º (F);1517.2;
3699;1948.22;530 ms;2.8 G;canter;506 m/min;14 cm;4.47 m;L;-3.7 º (L);-6.6 º (F);2024.67;
3700;1948.76;540 ms;3.1 G;canter;556 m/min;14 cm;5 m;S;-1.9 º (L);-8.2 º (F);2089.25;
3701;1949.32;560 ms;3.7 G;canter;542 m/min;15 cm;5.06 m;L;-2.4 º (L);-6.9 º (F);2517.68;
3702;1949.85;530 ms;3.2 G;canter;518 m/min;13 cm;4.58 m;L;-5.4 º (L);-5.5 º (F);2264.43;
3703;1950.38;530 ms;2.7 G;canter;528 m/min;14 cm;4.66 m;L;-6.2 º (L);-6.1 º (F);1818.57;
3704;1950.92;540 ms;3.7 G;canter;553 m/min;15 cm;4.97 m;L;-6.7 º (L);-6.6 º (F);2610.98;
3705;1951.41;490 ms;4.3 G;canter;521 m/min;14 cm;4.25 m;L;-7 º (L);-5.1 º (F);1906.38;
3706;1951.98;570 ms;2.8 G;canter;482 m/min;12 cm;4.58 m;L;-4.9 º (L);-2.9 º (F);1897.54;
3707;1952.55;570 ms;3.2 G;canter;459 m/min;16 cm;4.36 m;L;-4.7 º (L);-3.7 º (F);2272.06;
