Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
3800;1949.54;550 ms;4.5 G;canter;667 m/min;14 cm;6.11 m;R;5.9 º (R);-7.7 º (F);3318.1;
3801;1950.04;500 ms;4.9 G;canter;624 m/min;14 cm;5.2 m;R;6.4 º (R);-7.5 º (F);2881.31;
3802;1950.61;570 ms;4.1 G;canter;627 m/min;15 cm;5.96 m;S;3 º (R);-8.2 º (F);3161.84;
3803;1951.12;510 ms;4.5 G;canter;626 m/min;13 cm;5.32 m;S;3 º (R);-10 º (F);2164.95;
3804;1951.64;520 ms;3.5 G;canter;604 m/min;13 cm;5.24 m;R;4.5 º (R);-8.7 º (F);2554.06;
3805;1952.19;550 ms;3.4 G;canter;615 m/min;14 cm;5.63 m;R;6.8 º (R);-7.3 º (F);2610.8;
3806;1952.69;500 ms;4.5 G;canter;633 m/min;11 cm;5.28 m;R;5.9 º (R);-9.4 º (F);2786;
3807;1953.22;530 ms;3.4 G;canter;622 m/min;15 cm;5.49 m;R;6.8 º (R);-9.6 º (F);3140.79;
3808;1953.8;580 ms;6.4 G;canter;621 m/min;18 cm;6 m;R;9 º (R);-8.4 º (F);3885.64;
3809;1954.35;550 ms;4.7 G;canter;626 m/min;16 cm;5.74 m;R;7.1 º (R);-8.9 º (F);3248.87;
3810;1954.9;550 ms;3.7 G;canter;570 m/min;16 cm;5.23 m;R;3.7 º (R);-6.9 º (F);3198.28;
3811;1955.5;600 ms;5.8 G;canter;486 m/min;18 cm;4.86 m;R;6.2 º (R);-5 º (F);2875.11;
3812;1956.05;550 ms;3.7 G;canter;474 m/min;15 cm;4.35 m;R;10.4 º (R);-4.5 º (F);2072.67;
3813;1956.6;550 ms;3.1 G;canter;477 m/min;17 cm;4.38 m;R;6.4 º (R);-4.1 º (F);1866.18;
3814;1957.2;600 ms;4.5 G;canter;457 m/min;19 cm;4.57 m;R;6.8 º (R);-2.5 º (F);2332.11;
3815;1957.67;470 ms;2.9 G;canter;472 m/min;13 cm;3.7 m;R;4.8 º (R);-6.2 º (F);1510.84;
3816;1958.08;410 ms;3.6 G;canter;435 m/min;10 cm;2.97 m;S;1.3 º (R);-9.4 º (F);1437.72;
3817;1959.36;310 ms;2 G;canter;384 m/min;4 cm;1.98 m;R;4.7 º (R);-19.2 º (F);617.84;
3818;1959.88;520 ms;3.2 G;canter;316 m/min;15 cm;2.74 m;S;2.5 º (R);-8.2 º (F);1669.05;
3819;1960.72;840 ms;4.7 G;canter;300 m/min;27 cm;4.2 m;S;8.4 º (R);-13.4 º (F);2660.16;
3820;1961.08;360 ms;2.8 G;canter;376 m/min;6 cm;2.26 m;R;12 º (R);-7.5 º (F);854.62;
3821;1961.61;530 ms;2.9 G;canter;330 m/min;12 cm;2.91 m;R;8.5 º (R);-1.2 º (F);1508.7;
3822;1962.08;470 ms;3.7 G;canter;344 m/min;11 cm;2.7 m;R;9.5 º (R);-7.2 º (F);1564.09;
3823;1963.03;10 ms;1.7 G;canter;269 m/min;0 cm;0.04 m;R;11 º (R);-32.2 º (F);64.41;
3824;1963.56;530 ms;1.9 G;canter;306 m/min;5 cm;2.7 m;R;8 º (R);-9.4 º (F);956.12;
3825;1963.97;410 ms;1.2 G;canter;369 m/min;2 cm;2.52 m;R;14.5 º (R);-8.9 º (F);683.49;
3826;1964.54;570 ms;1.6 G;canter;372 m/min;8 cm;3.53 m;R;4.4 º (R);-4.8 º (F);1130.17;
3827;1965.06;520 ms;3.5 G;canter;379 m/min;8 cm;3.28 m;R;3.6 º (R);-3.1 º (F);2312.47;
3828;1966.18;70 ms;2.3 G;canter;419 m/min;1 cm;0.49 m;S;1 º (R);-20.4 º (F);537.93;
3829;1966.9;720 ms;2.4 G;canter;393 m/min;6 cm;4.72 m;S;9.8 º (R);6.5 º (B);3434.77;
3830;1967.21;310 ms;1 G;canter;412 m/min;3 cm;2.13 m;R;8.8 º (R);-2.1 º (F);1051.47;
3831;1967.91;700 ms;2.3 G;canter;432 m/min;5 cm;5.04 m;R;8.3 º (R);4.9 º (B);2282.19;
3832;1968.39;480 ms;2.4 G;canter;463 m/min;8 cm;3.71 m;R;6.3 º (R);-0.1 º (F);1748.08;
3833;1968.94;550 ms;3.6 G;canter;472 m/min;9 cm;4.33 m;R;8.7 º (R);3 º (B);1807.11;
3834;1969.71;770 ms;4 G;canter;464 m/min;15 cm;5.95 m;R;7.6 º (R);2.9 º (B);2153.36;
3835;1970.04;330 ms;1.6 G;canter;482 m/min;5 cm;2.65 m;R;8.7 º (R);-5.4 º (F);114.04;
3836;1970.57;530 ms;3.4 G;canter;483 m/min;11 cm;4.26 m;R;6.4 º (R);-4 º (F);3109.52;
3837;1971.04;470 ms;3.3 G;canter;492 m/min;8 cm;3.85 m;R;7.5 º (R);4.4 º (B);1923.45;
3838;1971.3;260 ms;1.4 G;canter;513 m/min;3 cm;2.22 m;R;6.9 º (R);-2.5 º (F);659.32;
3839;1972.01;710 ms;2.6 G;canter;576 m/min;3 cm;6.82 m;R;10.7 º (R);4.6 º (B);3511.38;
3840;1972.48;470 ms;3.2 G;canter;592 m/min;4 cm;4.64 m;R;6.6 º (R);0.7 º (B);2196.05;
3841;1972.96;480 ms;3.3 G;canter;550 m/min;4 cm;4.4 m;R;5.6 º (R);4.2 º (B);2313.51;
3842;1973.41;450 ms;2.7 G;canter;508 m/min;3 cm;3.81 m;R;5.1 º (R);6.6 º (B);2427.51;
3843;1973.92;510 ms;2.6 G;canter;488 m/min;5 cm;4.15 m;R;4.9 º (R);7.1 º (B);2203.27;
3844;1974.39;470 ms;2.4 G;canter;528 m/min;3 cm;4.13 m;R;4.3 º (R);4.5 º (B);2520.41;
3845;1974.86;470 ms;2.6 G;canter;523 m/min;3 cm;4.1 m;R;3 º (R);4.4 º (B);1927.65;
3846;1975.37;510 ms;2.6 G;canter;486 m/min;4 cm;4.13 m;R;4.4 º (R);3.7 º (B);1531.26;
3847;1975.93;560 ms;2.9 G;canter;450 m/min;10 cm;4.2 m;R;4.5 º (R);2.5 º (B);2117.65;
3848;1976.46;530 ms;3.2 G;canter;439 m/min;9 cm;3.88 m;S;0.5 º (R);-1 º (F);1478.3;
3849;1976.97;510 ms;2.4 G;canter;442 m/min;9 cm;3.76 m;S;-1.3 º (L);-3.6 º (F);1452.6;
3850;1977.55;580 ms;3.4 G;canter;439 m/min;11 cm;4.24 m;L;-4.3 º (L);-5.6 º (F);1876.54;
3851;1978.05;500 ms;2.5 G;canter;416 m/min;10 cm;3.47 m;L;-4 º (L);-9.5 º (F);1156.31;
3852;1978.58;530 ms;2.9 G;canter;416 m/min;12 cm;3.68 m;S;0.8 º (R);-12.8 º (F);1382.4;
3853;1979.11;530 ms;3.6 G;canter;472 m/min;15 cm;4.17 m;S;4.7 º (R);-12.9 º (F);1888.6;
3854;1979.64;530 ms;4.4 G;canter;551 m/min;16 cm;4.87 m;R;8.4 º (R);-14.7 º (F);2136.92;
3855;1980.2;560 ms;5.7 G;canter;645 m/min;18 cm;6.02 m;R;12.2 º (R);-15.9 º (F);3333.88;
3856;1980.74;540 ms;5 G;canter;665 m/min;19 cm;5.99 m;R;14.7 º (R);-13.7 º (F);2707.42;
3857;1981.3;560 ms;5 G;canter;638 m/min;17 cm;5.96 m;R;11.6 º (R);-13.8 º (F);4004.74;
