Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;-1;Stride;0.05;-;3.03;2.44;455;9.24 (R) ;7.79 (B) ;;1.76;
5c;12;Jump;-;1.63;7.53;5.79;457;4.63 (R) ;undefined ;43.41;6.42;
;1;Stride;0.02;-;0.48;5.28;478;-0.83 (L) ;-22.2 (F) ;;1.34;
;2;Stride;0.02;-;2.33;2.48;466;6.1 (R) ;4.94 (B) ;;2.01;
;3;Stride;0.07;-;3.19;2.48;416;24.09 (R) ;2.34 (B) ;;1.75;
;4;Stride;0.1;-;3.43;2.65;438;23.07 (R) ;-0.16 (F) ;;1.9;
;5;Stride;0.1;-;3.79;2.81;473;14.71 (R) ;-3.79 (F) ;;1.95;
;-5;Stride;0.15;-;4.62;3.86;533;10.33 (R) ;-5.77 (F) ;;3.8;
;-4;Stride;0.16;-;3.84;4.49;411;20.86 (R) ;-3.81 (F) ;;3.63;
;-3;Stride;0.13;-;2.94;3.47;368;24.21 (R) ;-5.86 (F) ;;2.53;
;-2;Stride;0.11;-;2.7;2.63;376;18.76 (R) ;-1.25 (F) ;;1.97;
;-1;Stride;0.09;-;2.8;4.53;420;4.89 (R) ;-0.15 (F) ;;2.3;
6a;13;Jump;-;1.78;8.68;4.98;438;-1.78 (L) ;undefined ;28.99;6.66;
;1;Stride;0.01;-;2.15;2.59;461;6.14 (R) ;-19.06 (F) ;;1.09;
;2;Stride;0.1;-;3.98;1.38;468;4.41 (R) ;-12.87 (F) ;;2.14;
;3;Stride;0.11;-;5.06;3.53;562;1.96 (R) ;-10.12 (F) ;;2.63;
;4;Stride;0.09;-;3.91;3.06;572;0.41 (R) ;-11.07 (F) ;;2.06;
;-4;Stride;0.01;-;2.15;2.59;461;6.14 (R) ;-19.06 (F) ;;1.09;
;-3;Stride;0.1;-;3.98;1.38;468;4.41 (R) ;-12.87 (F) ;;2.14;
;-2;Stride;0.11;-;5.06;3.53;562;1.96 (R) ;-10.12 (F) ;;2.63;
;-1;Stride;0.09;-;3.91;3.06;572;0.41 (R) ;-11.07 (F) ;;2.06;
6b;14;Jump;-;1.46;7.87;5.16;519;2.33 (R) ;undefined ;27.8;6.99;
;1;Stride;0.08;-;2.88;2.11;558;9.94 (R) ;-7.59 (F) ;;1.52;
;2;Stride;0.09;-;3.68;2;470;20.49 (R) ;-5.57 (F) ;;2.08;
;3;Stride;0.1;-;3.85;2.89;481;21.62 (R) ;-7.24 (F) ;;1.92;
;4;Stride;0.09;-;3.99;3.08;489;15.95 (R) ;-8.06 (F) ;;2.12;
;5;Stride;0.1;-;4.76;3.45;571;8.4 (R) ;-9.27 (F) ;;2.71;
;-5;Stride;0.15;-;5.13;4.06;592;8.31 (R) ;-6.08 (F) ;;3.9;
;-4;Stride;0.17;-;5.17;3.43;574;5.6 (R) ;-5.27 (F) ;;3.55;
;-3;Stride;0.15;-;4.89;6.66;544;2.84 (R) ;-5.43 (F) ;;4.09;
